Content,Label
" a facebook page, atete entertainment tv1, claims that innocent idibia, aka 2baba, and his wife, annie (née macaulay), have settled their marital dispute with the intervention of senator ned nwoko, husband of actress regina daniels. ",0
 an instagram user claims that bottled water contains microplastics. ,1
" kmc, led by mayor talib ahmed bensouda, has not built a single road in kanifing municipality over the past 8 years.  ",0
 a facebook user claimed president bola tinubu blocked a deportation flight from the united states from landing in nigeria.,0
 a facebook user claimed some motorbike riders killed ten police officers.,0
 x user posits that excess intake of vitamin c supplements can cause kidney issues.,1
 a facebook video shows trump promising to free the people of biafra from the nigerian government. ,0
" after seven years, we did not climb by even 0.1 on the corruption perception index, mohammed ali claimed.",0
"cardiovascular diseases (cvds), a leading cause of death globally, are a group of diseases that affect the heart and blood vessels. in light of the foregoing, a social media user linked the habit of not brushing at night to this serious disease, saying that studies have confirmed that not brushing at night increases a person’s risk of cardiovascular diseases. ",1
"as discussions on the 2027 general elections spring up again, a facebook user claimed that aliko dangote, a popular business tycoon in africa, has expressed his support for peter obi ahead of the 2027 polls.",0
"on jan. 13, 2025, the internal crisis at the lagos state legislative chamber peaked when its members impeached the long-serving speaker, mudashiru obasa, over allegations of gross misconduct and abuse of office. the assembly’s majority thereafter selected his deputy, mojisola meranda, to fill his seat. against this backdrop, a facebook page called nigeria news now shared a letter online saying that ms meranda has decided to step down. ",0
"in africa, the infrastructure gap across countries remains a major topic of discussion in nation-building, particularly among citizens and stakeholders. contributing to this discourse, a facebook blog, africa view facts, recently claimed that nigeria has the fastest trains on the continent. ",1
"with the return of donald trump as america’s resident, he signed an executive order recently requiring the deportation of immigrants. this decision has raised a flurry of concerns among concerned individuals. with this backstory,  a video allegedly showing nigerians who were caught and deported back to nigeria went viral.",0
" a facebook user claims the central bank of nigeria (cbn) has revealed the first sample of the n5000 note, which features president tinubu’s image.",0
" a facebook user is alleging that the government of liberia, through the ministry of finance, has reduced the benefits of public officials amid the u.s. foreign aid freeze.",0
" a facebook user alleged that popular liberian musician maurice tosh gayflor, who goes by the stage name cic, won $1 million us dollars from lonestar cell mtn for winning artist of the year and $7000 us dollars for winning male artist of the year.",0
 a facebook user shared a video with the claim that nigerians are being deported from the us following president donald trump’s executive orders.,1
" facebook users shared a picture of a letter alleging that the current speaker of the lagos state house of assembly, mojisola meranda, has resigned.",0
 the former deputy commerce minister claimed that liberia’s former president weah “never fired anybody” during his administration.,0
 a facebook user recently claimed nigeria has the fastest train in africa.,1
" a tiktok user shared a video clip spotlighting liverpool boss arne slot, slamming umpire michael oliver after the merseyside derby.",0
" “mr boakai stole the election and now sits as head of state,” foday n. massaquoi, chairperson of the cdc council of patriots, alleged.",0
" a facebook user, junior duo, posted in fries fm (a private group)  alleging the us president has ordered the release of liberia’s former president charles taylor from prison. ",0
 a facebook user has alleged that only two commissioners at the liberia telecommunication authority (lta) declared their assets.,0
" a facebook page, ‘dailyexcessive,’ has claimed that nigerian entrepreneur aliko dangote declared his full support for peter obi before the 2027 presidential election. ",0
 an x user via video claims that nigerian army personnel have invaded and attacked unarmed citizens in southeast nigeria.,0
 an instagram user claims a new study confirms that not brushing at night increases the risk of cardiovascular diseases. ,1
 a facebook post shows the sultan of sokoto wearing a charm garment.,0
