Title,Link,Content,Label
"False! 2Baba, wife  back together",https://dubawa.org/false-2baba-wife-not-back-together/,"Claim: A Facebook page, Atete Entertainment tv1, claims that Innocent Idibia, aka 2Baba, and his wife, Annie (née Macaulay), have settled their marital dispute with the intervention of Senator Ned Nwoko, husband of actress Regina Daniels. ",Verdict: False. Neither the couple nor the press has signalled their reconciliation in reports or posts. 
Does bottled water contain microplastic?,https://dubawa.org/does-bottled-water-contain-microplastic/,Claim: An Instagram user claims that bottled water contains microplastics. ,Verdict: True. Several available research show that bottled water contains microplastics and nanoplastics. 
Claiming that  KMC has not built any roads in 8 years is false,https://dubawa.org/claiming-that-kmc-has-not-built-any-roads-in-8-years-is-false/,"Claim: KMC, led by Mayor Talib Ahmed Bensouda, has not built a single road in Kanifing Municipality over the past 8 years.  ",Verdict:  The claim that the Kanifing Municipal Council (KMC) has not constructed any road in 8 years is false.  
Did Tinubu block U.S. deportation flight from landing in Nigeria?,https://dubawa.org/did-tinubu-block-u-s-deportation-flight-from-landing-in-nigeria/,Claim: A Facebook user claimed President Bola Tinubu blocked a deportation flight from the United States from landing in Nigeria.,"Verdict: The claim is false. While some countries have resisted accepting deportation flights, no credible news report or evidence confirms President Bola Tinubu blocked any such flights from landing due to impromptu scheduling."
False! Motorbike riders did not kill 10 officers of Liberia’s National Police,https://dubawa.org/false-motorbike-riders-did-not-kill-10-officers-of-liberias-national-police/,Claim: A Facebook user claimed some motorbike riders killed ten police officers.,Verdict: False. The spokesperson of the Liberia National Police says the information is untrue.
Can taking Vitamin C supplements cause kidney damage?,https://dubawa.org/can-taking-vitamin-c-supplements-cause-kidney-damage/,Claim: X user posits that excess intake of vitamin C supplements can cause kidney issues.,"Verdict: True! Vitamin C offers numerous benefits, but excessive intake through supplements may lead to unwanted side effects, including an increased risk of kidney stones. "
"Video of Trump threatening to liberate Biafra, doctored",https://dubawa.org/video-of-trump-threatening-to-liberate-biafra-doctored/,"Claim: A Facebook video shows Trump promising to free the people of Biafra from the Nigerian government." ,"Verdict: False! DUBAWA’s findings show that the video was manipulated to drive a false narrative. We discovered that the original version was released in Jan. 2021, during the election period that led to Joe Biden’s victory as the 46th president of the United States. The video has nothing to do with Nigeria."
"Misleading! In 7 years, Liberia climbed by one point on Corruption Perception Index",https://dubawa.org/misleading-in-7-years-liberia-climbed-by-one-point-on-corruption-perception-index/,"Claim: “After seven years, we did not climb by even 0.1” on the Corruption Perception Index, Mohammed Ali claimed.","Verdict: Misleading. In 2021, Liberia climbed by one point on the Corruption Perception Index."
Not brushing at night increases the risk of cardiovascular diseases,https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"Cardiovascular diseases (CVDs), a leading cause of death globally, are a group of diseases that affect the heart and blood vessels. In light of the foregoing, a social media user linked the habit of not brushing at night to this serious disease, saying that studies have confirmed that not brushing at night increases a person’s risk of cardiovascular diseases. ", "True"
"Africa’s richest man Dangote drums support for Peter Obi",https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"As discussions on the 2027 general elections spring up again, a Facebook user claimed that Aliko Dangote, a popular business tycoon in Africa, has expressed his support for Peter Obi ahead of the 2027 polls.","misleading"
"The New Speaker of the Lagos state House of Assembly resigned",https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"On Jan. 13, 2025, the internal crisis at the Lagos state legislative chamber peaked when its members impeached the long-serving speaker, Mudashiru Obasa, over allegations of gross misconduct and abuse of office. The assembly’s majority thereafter selected his deputy, Mojisola Meranda, to fill his seat. Against this backdrop, a Facebook page called Nigeria News Now shared a letter online saying that Ms Meranda has decided to step down. ","False"
"Nigeria has the fastest trains in Africa",https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"In Africa, the infrastructure gap across countries remains a major topic of discussion in nation-building, particularly among citizens and stakeholders. Contributing to this discourse, a Facebook blog, Africa View Facts, recently claimed that Nigeria has the fastest trains on the continent. ","True"
"US president Trump deports Nigerians living abroad",https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"With the return of Donald Trump as America’s resident, he signed an executive order recently requiring the deportation of immigrants. This decision has raised a flurry of concerns among concerned individuals. With this backstory,  a video allegedly showing Nigerians who were caught and deported back to Nigeria went viral.", "false"
"Has CBN introduced N5000 note featuring President Tinubu’s image?",https://dubawa.org/has-cbn-introduced-n5000-note-featuring-president-tinubus-image/,"Claim: A Facebook user claims the Central Bank of Nigeria (CBN) has revealed the first sample of the N5000 note, which features President Tinubu’s image.","Verdict: False! No report indicates the CBN recently introduced N5000 notes. Moreover, an analysis of the note shows that it was AI-generated. "
"Ministry of Finance has not reduced salaries, public officials’ benefits amid US aid freeze",https://dubawa.org/ministry-of-finance-has-not-reduced-salaries-public-officials-benefits-amid-us-aid-freeze/,"Claim: A Facebook user is alleging that the Government of Liberia, through the Ministry of Finance, has reduced the benefits of public officials amid the U.S. foreign aid freeze.","Verdict: Misleading! The Ministry of Finance did not reduce the salary and benefits of public officials. According to the head of communications at the Ministry of Finance, no policy has been introduced to reduce these benefits and salaries."
False! Liberia’s Maurice Tosh did not win $1m from Lonestar,https://dubawa.org/false-liberias-maurice-tosh-did-not-win-1m-from-lonestar/,"Claim: A Facebook user alleged that popular Liberian musician Maurice Tosh Gayflor, who goes by the stage name CIC, won $1 million US dollars from Lonestar Cell MTN for winning Artist of the Year and $7000 US dollars for winning Male Artist of the year.","Verdict: False! Checks by DUBAWA indicate that Liberian musician CIC did not receive $1 million for Artist of the Year, nor did he win the Male Artist of the Year category. "
Is viral video showing Nigerians being deported from US true?,https://dubawa.org/is-viral-video-showing-nigerians-being-deported-from-us-true/,Claim: A Facebook user shared a video with the claim that Nigerians are being deported from the US following President Donald Trump’s executive orders.,"Verdict: False. The video is a compilation of unrelated clips. Some predate Trump’s executive orders, while others have no connection to deportations from the U.S."
Ǹjẹ́ èèwọ̀ ni fún àwọn Mùsùlùmí ilẹ̀ Yorùbá lati pè’run ní Àríwá Nàìjíríà?,https://dubawa.org/%c7%b9je-eewo-ni-fun-awon-musulumi-ile-yoruba-lati-perun-ni-ariwa-naijiria/,Àhesọ: Aṣàmúlò X kan sọ pé àwọn Mùsùlùmí Ilẹ̀ Yorùbá ni wọ́n fòfin de láti darí àdúrà ní Àríwá Nàìjíríà. ,"Àbájáde Ìwádìí: Irọ́. Àwọn ìkìlọ̀ Al-Qur’an sọ pé ẹni tí ó yẹ kí ó darí ẹgbẹ́ àwọn Mùsùlùmí nínú àdúrà gbọ́dọ̀ jẹ́ ẹni tí ó ní ìmọ̀ jùlọ láàárín wọn. Síwájú sí i, àwọn ọ̀mọ̀wé ẹ̀sìn Mùsùlùmí náà ti tako àhesọ orí X yìí. Wọ́n ṣàlàyé pé àwọn ìlànà fún dídarí àdúrà kò gbára lé ẹ̀yà ènìyàn."
"Viral claim of Lagos State speaker’s resignation, false",https://dubawa.org/viral-claim-of-lagos-state-speakers-resignation-false/,"Claim: Facebook users shared a picture of a letter alleging that the current speaker of the Lagos state House of Assembly, Mojisola Meranda, has resigned.","Verdict: FALSE. No credible media organisation reported such an occurrence. Also, the assembly’s information officer, Bisola Branco-Adekoya, debunked the claim."
False to suggest Weah fired no one during his administration,https://dubawa.org/false-to-suggest-weah-fired-no-one-during-his-administration/,Claim: The former Deputy Commerce Minister claimed that Liberia’s former President Weah “never fired anybody” during his administration.,"Verdict: False. President Weah fired Dr Mosoka Fallah, Wilmot Smith, and even Jamima Wolokolie during his administration."
