Title,Link,Content,Label,,
2baba and his wife are back together,https://dubawa.org/false-2baba-wife-not-back-together/," a facebook page, atete entertainment tv1, claims that innocent idibia, aka 2baba, and his wife, annie (née macaulay), have settled their marital dispute with the intervention of senator ned nwoko, husband of actress regina daniels. ",0,,
bottled water contain microplastic,https://dubawa.org/does-bottled-water-contain-microplastic/, an instagram user claims that bottled water contains microplastics. ,1,,
kmc has not built any roads in 8 years is ,https://dubawa.org/claiming-that-kmc-has-not-built-any-roads-in-8-years-is-false/," kmc, led by mayor talib ahmed bensouda, has not built a single road in kanifing municipality over the past 8 years.  ",0,,
Tinubu block U.S. deportation flight from landing in Nigeria,https://dubawa.org/did-tinubu-block-u-s-deportation-flight-from-landing-in-nigeria/, a facebook user claimed president bola tinubu blocked a deportation flight from the united states from landing in nigeria.,0,,
motorbike riders  killed 10 officers of liberia’s national police,https://dubawa.org/false-motorbike-riders-did-not-kill-10-officers-of-liberias-national-police/, a facebook user claimed some motorbike riders killed ten police officers.,0,,
taking Vitamin C supplements cause kidney damage,https://dubawa.org/can-taking-vitamin-c-supplements-cause-kidney-damage/, x user posits that excess intake of vitamin c supplements can cause kidney issues.,1,,
"Video of Trump threatening to liberate Biafra, doctored",https://dubawa.org/video-of-trump-threatening-to-liberate-biafra-doctored/, a facebook video shows trump promising to free the people of biafra from the nigerian government. ,0,,
"in 7 years, liberia climbed by one point on corruption perception index",https://dubawa.org/misleading-in-7-years-liberia-climbed-by-one-point-on-corruption-perception-index/," after seven years, we did not climb by even 0.1 on the corruption perception index, mohammed ali claimed.",0,,
Not brushing at night increases the risk of cardiovascular diseases,https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"cardiovascular diseases (cvds), a leading cause of death globally, are a group of diseases that affect the heart and blood vessels. in light of the foregoing, a social media user linked the habit of not brushing at night to this serious disease, saying that studies have confirmed that not brushing at night increases a person’s risk of cardiovascular diseases. ",1,,
Africa’s richest man Dangote drums support for Peter Obi,https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"as discussions on the 2027 general elections spring up again, a facebook user claimed that aliko dangote, a popular business tycoon in africa, has expressed his support for peter obi ahead of the 2027 polls.",0,,
The New Speaker of the Lagos state House of Assembly resigned,https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"on jan. 13, 2025, the internal crisis at the lagos state legislative chamber peaked when its members impeached the long-serving speaker, mudashiru obasa, over allegations of gross misconduct and abuse of office. the assembly’s majority thereafter selected his deputy, mojisola meranda, to fill his seat. against this backdrop, a facebook page called nigeria news now shared a letter online saying that ms meranda has decided to step down. ",0,,
Nigeria has the fastest trains in Africa,https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"in africa, the infrastructure gap across countries remains a major topic of discussion in nation-building, particularly among citizens and stakeholders. contributing to this discourse, a facebook blog, africa view facts, recently claimed that nigeria has the fastest trains on the continent. ",1,,
US president Trump deports Nigerians living abroad,https://dubawa.org/round-up-top-five-claims-we-fact-checked-this-week/,"with the return of donald trump as america’s resident, he signed an executive order recently requiring the deportation of immigrants. this decision has raised a flurry of concerns among concerned individuals. with this backstory,  a video allegedly showing nigerians who were caught and deported back to nigeria went viral.",0,,
CBN introduced N5000 note featuring President Tinubu’s image,https://dubawa.org/has-cbn-introduced-n5000-note-featuring-president-tinubus-image/," a facebook user claims the central bank of nigeria (cbn) has revealed the first sample of the n5000 note, which features president tinubu’s image.",0,,
"Ministry of Finance has  reduced salaries, public officials’ benefits amid US aid freeze",https://dubawa.org/ministry-of-finance-has-not-reduced-salaries-public-officials-benefits-amid-us-aid-freeze/," a facebook user is alleging that the government of liberia, through the ministry of finance, has reduced the benefits of public officials amid the u.s. foreign aid freeze.",0,,
liberia’s maurice tosh did  wins $1m from lonestar,https://dubawa.org/false-liberias-maurice-tosh-did-not-win-1m-from-lonestar/," a facebook user alleged that popular liberian musician maurice tosh gayflor, who goes by the stage name cic, won $1 million us dollars from lonestar cell mtn for winning artist of the year and $7000 us dollars for winning male artist of the year.",0,,
Is viral video showing nigerians being deported from us ?,https://dubawa.org/is-viral-video-showing-nigerians-being-deported-from-us-true/, a facebook user shared a video with the claim that nigerians are being deported from the us following president donald trump’s executive orders.,1,,
"viral claim of lagos state speaker’s resignation, ",https://dubawa.org/viral-claim-of-lagos-state-speakers-resignation-false/," facebook users shared a picture of a letter alleging that the current speaker of the lagos state house of assembly, mojisola meranda, has resigned.",0,,
claims to suggest weah fired no one during his administration,https://dubawa.org/false-to-suggest-weah-fired-no-one-during-his-administration/, the former deputy commerce minister claimed that liberia’s former president weah “never fired anybody” during his administration.,0,,
nigeria has fastest train in africa,https://dubawa.org/true-nigeria-has-fastest-train-in-africa/, a facebook user recently claimed nigeria has the fastest train in africa.,1,,
TikTok video showing Slot berating referee after Everton’s late equaliser,https://dubawa.org/tiktok-video-showing-slot-berating-referee-after-evertons-late-equaliser-manipulated/," a tiktok user shared a video clip spotlighting liverpool boss arne slot, slamming umpire michael oliver after the merseyside derby.",0,,
boakai  steals the election,https://dubawa.org/false-boakai-did-not-steal-the-election/," “mr boakai stole the election and now sits as head of state,” foday n. massaquoi, chairperson of the cdc council of patriots, alleged.",0,,
"trump  order release of liberia’s ex-president, charles taylor",https://dubawa.org/false-trump-didnt-order-release-of-liberias-ex-president-charles-taylor/," a facebook user, junior duo, posted in fries fm (a private group)  alleging the us president has ordered the release of liberia’s former president charles taylor from prison. ",0,,
 more than two lta commissioners declared their assets,https://dubawa.org/false-more-than-two-lta-commissioners-declared-their-assets/, a facebook user has alleged that only two commissioners at the liberia telecommunication authority (lta) declared their assets.,0,,
Aliko Dangote declare support for Peter Obi ahead 2027 presidential election,https://dubawa.org/did-aliko-dangote-declare-support-for-peter-obi-ahead-2027-presidential-election/," a facebook page, ‘dailyexcessive,’ has claimed that nigerian entrepreneur aliko dangote declared his full support for peter obi before the 2027 presidential election. ",0,,
2021 video recycled to amplify recent security threat in Southeast,https://dubawa.org/2021-video-recycled-to-amplify-recent-security-threat-in-southeast/, an x user via video claims that nigerian army personnel have invaded and attacked unarmed citizens in southeast nigeria.,0,,
not brushing your teeth at night increase cardiovascular disease risk,https://dubawa.org/will-not-brushing-your-teeth-at-night-increase-cardiovascular-disease-risk/, an instagram user claims a new study confirms that not brushing at night increases the risk of cardiovascular diseases. ,1,,
facebook post  shows sultan of sokoto wearing charm garment,https://dubawa.org/facebook-post-falsely-shows-sultan-of-sokoto-wearing-charm-garment/, a facebook post shows the sultan of sokoto wearing a charm garment.,0,,
Alleged video of rotten naira notes rehashed from 2022,https://dubawa.org/alleged-video-of-rotten-naira-notes-rehashed-from-2022/," an x user, @sebastineogb, shared a video claiming the economic and financial crimes commission (efcc) discovered stacks of spoilt naira notes in a container in abuja.",0,,
 Liberia minister made a claim about country’s HIV rate in Africa,https://dubawa.org/round-up-liberias-hiv-rate-us-deportation-among-top-claims-fact-checked-this-week/,the Minister claimed Liberia has the lowest HIV/AIDS rate amongst other African Countries. ,0,,
TikTok video showing Haaland apologising to Arteta,https://dubawa.org/round-up-liberias-hiv-rate-us-deportation-among-top-claims-fact-checked-this-week/,"Recently, a TikTok user shared a video clip showing Haaland purportedly apologising to Arteta and his team during an interview. In the viral clip, the Manchester City star referenced his comment urging the Arsenal boss to accept him into the team.",0,,
"Trump orders sale of African leaders’ properties, children’s deportation",https://dubawa.org/round-up-liberias-hiv-rate-us-deportation-among-top-claims-fact-checked-this-week/, a claim widely shared on Facebook that Trump had ordered the sale of properties owned by African politicians in the US and called for the deportation of their children studying in the country. ,0,,
liberia has low hiv rate among african countries,https://dubawa.org/misleading-liberia-has-low-hiv-rate-among-african-countries/," the minister of health, dr louise kpoto, in an appearance before the plenary of the house of representatives, claimed that liberia has the lowest rate of hiv/aids  among african  countries. ",0,,
Claim Tinubu shut down Nigeria’s embassy in the U.S,https://dubawa.org/round-up-liberias-hiv-rate-us-deportation-among-top-claims-fact-checked-this-week/,"The user falsely claimed that Tinubu had removed Nigeria from the U.S. stock market, withdrawn the country’s embassy from the U.S., blocked oil sales to the U.S., and shut down the Abuja State House in Washington, D.C.",0,,
plastics do make up 20% of liberia’s waste composition,https://dubawa.org/false-plastics-do-not-make-up-20-of-liberias-waste-composition/," “plastic makes about 20% of our waste,” monrovia city corporation’s head claims.",0,,
